freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.128e+03,4.575e+03,1.169e+02,5.820e+03
1.6,6.947e+03,2.905e+03,4.050e+02,1.026e+04
3.1,6.258e+03,5.876e+02,5.336e+02,7.379e+03
4.7,7.899e+03,1.138e+03,8.755e+02,9.913e+03
6.2,1.077e+04,1.996e+03,8.341e+02,1.360e+04
7.8,9.791e+03,2.705e+03,5.685e+02,1.306e+04
9.3,8.126e+03,3.749e+03,5.371e+02,1.241e+04
10.9,6.803e+03,4.964e+03,5.088e+02,1.228e+04
12.4,6.358e+03,6.191e+03,4.980e+02,1.305e+04
14.0,6.737e+03,7.872e+03,5.260e+02,1.513e+04
15.6,7.099e+03,9.149e+03,5.394e+02,1.679e+04
17.1,7.396e+03,1.047e+04,5.477e+02,1.841e+04
18.7,7.734e+03,1.337e+04,6.142e+02,2.171e+04
20.2,7.760e+03,1.592e+04,7.988e+02,2.448e+04
21.8,7.420e+03,1.715e+04,8.809e+02,2.545e+04
23.3,7.057e+03,2.031e+04,7.689e+02,2.814e+04
24.9,6.672e+03,2.498e+04,7.279e+02,3.238e+04
26.4,6.262e+03,3.016e+04,6.972e+02,3.712e+04
28.0,6.558e+03,3.564e+04,6.440e+02,4.284e+04
29.6,7.000e+03,4.020e+04,5.232e+02,4.773e+04
31.1,6.953e+03,4.718e+04,5.558e+02,5.468e+04
32.7,8.143e+03,5.375e+04,5.464e+02,6.244e+04
34.2,6.477e+03,6.073e+04,5.052e+02,6.771e+04
35.8,6.847e+03,7.287e+04,5.809e+02,8.030e+04
37.3,5.872e+03,8.665e+04,8.143e+02,9.334e+04
38.9,5.933e+03,1.006e+05,8.943e+02,1.075e+05
40.4,7.074e+03,1.133e+05,8.254e+02,1.212e+05
42.0,7.172e+03,1.254e+05,9.094e+02,1.335e+05
43.6,7.134e+03,1.460e+05,1.220e+03,1.543e+05
45.1,8.024e+03,1.662e+05,2.387e+03,1.766e+05
46.7,9.315e+03,1.843e+05,5.152e+03,1.988e+05
48.2,8.653e+03,2.145e+05,3.668e+03,2.269e+05
49.8,8.428e+03,2.573e+05,1.258e+03,2.670e+05
51.3,7.988e+03,2.879e+05,7.554e+02,2.966e+05
52.9,7.844e+03,2.979e+05,6.918e+02,3.064e+05
54.4,8.188e+03,3.279e+05,7.475e+02,3.368e+05
56.0,8.708e+03,3.975e+05,7.547e+02,4.069e+05
57.6,8.730e+03,4.906e+05,7.081e+02,5.001e+05
59.1,9.124e+03,6.158e+05,7.850e+02,6.257e+05
60.7,9.558e+03,7.733e+05,9.220e+02,7.838e+05
62.2,1.121e+04,9.831e+05,8.046e+02,9.952e+05
63.8,1.274e+04,1.272e+06,8.032e+02,1.286e+06
65.3,1.538e+04,1.714e+06,1.086e+03,1.731e+06
66.9,2.051e+04,2.376e+06,3.920e+03,2.400e+06
68.4,4.115e+04,3.366e+06,3.075e+04,3.438e+06
70.0,7.390e+04,4.824e+06,6.727e+04,4.965e+06
71.6,7.984e+04,8.121e+06,4.803e+04,8.249e+06
73.1,1.628e+05,1.853e+07,4.763e+04,1.874e+07
74.7,2.892e+05,3.324e+07,5.222e+04,3.358e+07
76.2,3.357e+05,3.854e+07,6.701e+04,3.894e+07
77.8,3.554e+05,3.749e+07,7.813e+04,3.793e+07
79.3,3.563e+05,3.358e+07,8.522e+04,3.402e+07
80.9,3.084e+05,2.839e+07,8.951e+04,2.879e+07
82.4,2.637e+05,2.363e+07,9.525e+04,2.399e+07
84.0,2.379e+05,1.927e+07,9.432e+04,1.961e+07
85.6,2.108e+05,1.576e+07,8.821e+04,1.605e+07
87.1,1.752e+05,1.267e+07,7.632e+04,1.292e+07
88.7,1.431e+05,9.834e+06,5.937e+04,1.004e+07
90.2,1.233e+05,8.273e+06,4.471e+04,8.441e+06
91.8,7.494e+04,7.836e+06,4.025e+04,7.951e+06
93.3,2.017e+04,7.022e+06,3.856e+04,7.081e+06
94.9,9.059e+03,5.979e+06,3.075e+04,6.018e+06
96.4,1.209e+04,5.503e+06,2.780e+04,5.543e+06
98.0,1.481e+04,5.281e+06,3.133e+04,5.327e+06
99.6,1.127e+04,5.014e+06,2.888e+04,5.054e+06
101.1,6.907e+03,4.742e+06,2.875e+04,4.778e+06
102.7,5.381e+03,4.425e+06,2.868e+04,4.459e+06
104.2,1.151e+04,4.369e+06,3.199e+04,4.413e+06
105.8,2.041e+04,4.467e+06,3.696e+04,4.525e+06
107.3,1.931e+04,4.132e+06,3.897e+04,4.190e+06
108.9,1.299e+04,3.569e+06,3.997e+04,3.622e+06
110.4,8.501e+03,3.071e+06,4.140e+04,3.120e+06
112.0,5.687e+03,2.703e+06,4.488e+04,2.753e+06
113.5,4.730e+03,2.444e+06,4.872e+04,2.498e+06
115.1,5.666e+03,2.236e+06,5.168e+04,2.293e+06
116.7,7.543e+03,2.060e+06,5.488e+04,2.122e+06
118.2,9.813e+03,1.880e+06,5.766e+04,1.948e+06
119.8,1.278e+04,1.651e+06,5.827e+04,1.722e+06
121.3,1.472e+04,1.197e+06,5.387e+04,1.266e+06
122.9,1.931e+04,9.780e+05,5.399e+04,1.051e+06
124.4,2.533e+04,9.530e+05,5.341e+04,1.032e+06
126.0,2.840e+04,9.083e+05,5.233e+04,9.890e+05
127.5,2.696e+04,8.745e+05,5.640e+04,9.578e+05
129.1,2.813e+04,9.015e+05,6.643e+04,9.960e+05
130.7,3.815e+04,8.777e+05,8.738e+04,1.003e+06
132.2,4.129e+04,7.488e+05,9.066e+04,8.807e+05
133.8,1.906e+04,2.272e+05,2.896e+04,2.753e+05
135.3,1.114e+04,3.306e+04,5.751e+03,4.995e+04
136.9,1.171e+04,2.253e+04,3.909e+03,3.815e+04
138.4,1.428e+04,1.980e+04,2.713e+03,3.679e+04
140.0,2.744e+04,2.109e+04,1.734e+03,5.026e+04
141.5,4.553e+04,2.156e+04,1.341e+03,6.843e+04
143.1,6.551e+04,2.583e+04,1.992e+03,9.333e+04
144.7,1.107e+05,4.363e+04,4.718e+03,1.591e+05
146.2,2.208e+05,1.231e+05,1.670e+04,3.605e+05
147.8,3.639e+05,2.806e+05,4.269e+04,6.872e+05
149.3,4.456e+05,3.768e+05,6.266e+04,8.850e+05
150.9,4.782e+05,3.358e+05,6.552e+04,8.795e+05
152.4,5.580e+05,2.945e+05,6.916e+04,9.216e+05
154.0,5.743e+05,3.039e+05,6.640e+04,9.446e+05
155.5,4.510e+05,4.184e+05,6.092e+04,9.302e+05
157.1,3.847e+05,5.654e+05,5.922e+04,1.009e+06
158.7,4.201e+05,6.749e+05,6.187e+04,1.157e+06
160.2,4.442e+05,7.870e+05,6.541e+04,1.297e+06
