freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.529e+03,8.441e+01,3.465e+01,1.648e+03
1.6,1.181e+03,6.145e+01,1.137e+02,1.356e+03
3.1,3.495e+02,2.085e+01,1.392e+02,5.096e+02
4.7,7.443e+02,2.719e+01,1.292e+02,9.007e+02
6.2,1.689e+03,3.998e+01,1.253e+02,1.855e+03
7.8,2.499e+03,5.044e+01,1.238e+02,2.674e+03
9.3,3.435e+03,6.553e+01,1.200e+02,3.620e+03
10.9,4.575e+03,9.248e+01,1.132e+02,4.781e+03
12.5,5.904e+03,1.289e+02,1.079e+02,6.141e+03
14.0,7.427e+03,1.522e+02,1.441e+02,7.723e+03
15.6,9.131e+03,1.853e+02,1.449e+02,9.461e+03
17.1,1.096e+04,2.021e+02,1.282e+02,1.129e+04
18.7,1.330e+04,2.252e+02,1.160e+02,1.364e+04
20.3,1.591e+04,2.765e+02,1.109e+02,1.630e+04
21.8,1.887e+04,3.316e+02,1.155e+02,1.932e+04
23.4,2.208e+04,4.098e+02,1.134e+02,2.261e+04
24.9,2.505e+04,4.532e+02,1.232e+02,2.562e+04
26.5,2.771e+04,5.210e+02,1.150e+02,2.835e+04
28.0,3.015e+04,6.167e+02,1.107e+02,3.088e+04
29.6,3.226e+04,6.627e+02,1.106e+02,3.303e+04
31.2,3.696e+04,7.571e+02,1.050e+02,3.782e+04
32.7,4.184e+04,8.679e+02,1.073e+02,4.281e+04
34.3,4.567e+04,8.819e+02,1.220e+02,4.668e+04
35.8,5.274e+04,8.478e+02,1.184e+02,5.371e+04
37.4,6.146e+04,7.977e+02,1.297e+02,6.239e+04
39.0,6.932e+04,7.302e+02,1.491e+02,7.020e+04
40.5,7.436e+04,6.695e+02,1.489e+02,7.518e+04
42.1,7.715e+04,6.151e+02,1.534e+02,7.792e+04
43.6,8.632e+04,6.627e+02,1.679e+02,8.715e+04
45.2,9.854e+04,6.994e+02,1.920e+02,9.943e+04
46.7,1.105e+05,7.189e+02,2.139e+02,1.115e+05
48.3,1.215e+05,8.408e+02,2.033e+02,1.226e+05
49.9,1.326e+05,1.205e+03,1.865e+02,1.340e+05
51.4,1.426e+05,1.545e+03,2.132e+02,1.444e+05
53.0,1.435e+05,1.375e+03,2.068e+02,1.451e+05
54.5,1.464e+05,1.071e+03,1.934e+02,1.476e+05
56.1,1.628e+05,9.307e+02,2.002e+02,1.639e+05
57.7,1.823e+05,8.234e+02,2.166e+02,1.833e+05
59.2,2.052e+05,8.707e+02,2.627e+02,2.064e+05
60.8,2.298e+05,8.644e+02,2.634e+02,2.309e+05
62.3,2.564e+05,7.503e+02,2.650e+02,2.575e+05
63.9,2.882e+05,6.352e+02,2.831e+02,2.892e+05
65.4,3.158e+05,5.789e+02,3.277e+02,3.167e+05
67.0,3.303e+05,1.199e+03,3.716e+02,3.319e+05
68.6,3.524e+05,3.301e+03,3.845e+02,3.561e+05
70.1,3.834e+05,7.714e+03,4.153e+02,3.916e+05
71.7,4.118e+05,1.583e+04,4.715e+02,4.281e+05
73.2,4.163e+05,2.399e+04,4.713e+02,4.408e+05
74.8,3.925e+05,3.730e+04,4.319e+02,4.303e+05
76.4,4.251e+05,5.057e+04,5.261e+02,4.762e+05
77.9,4.972e+05,5.627e+04,6.477e+02,5.541e+05
79.5,5.823e+05,5.902e+04,8.873e+02,6.422e+05
81.0,6.644e+05,5.934e+04,1.315e+03,7.251e+05
82.6,7.661e+05,5.933e+04,2.104e+03,8.276e+05
84.1,8.935e+05,5.365e+04,3.189e+03,9.504e+05
85.7,1.046e+06,4.429e+04,4.333e+03,1.095e+06
87.3,1.219e+06,4.116e+04,4.869e+03,1.265e+06
88.8,1.389e+06,5.164e+04,4.747e+03,1.445e+06
90.4,1.560e+06,7.760e+04,4.393e+03,1.642e+06
91.9,1.770e+06,1.042e+05,3.744e+03,1.878e+06
93.5,2.013e+06,1.244e+05,2.673e+03,2.140e+06
95.1,2.311e+06,1.472e+05,1.546e+03,2.459e+06
96.6,2.634e+06,1.766e+05,1.954e+03,2.812e+06
98.2,2.938e+06,1.932e+05,5.675e+03,3.137e+06
99.7,3.296e+06,2.349e+05,9.363e+03,3.541e+06
101.3,3.625e+06,2.540e+05,1.129e+04,3.890e+06
102.8,3.991e+06,2.613e+05,1.223e+04,4.265e+06
104.4,4.432e+06,2.745e+05,1.222e+04,4.718e+06
106.0,5.106e+06,2.684e+05,1.325e+04,5.387e+06
107.5,5.911e+06,2.723e+05,1.409e+04,6.197e+06
109.1,6.529e+06,2.723e+05,1.505e+04,6.816e+06
110.6,7.112e+06,2.927e+05,1.680e+04,7.421e+06
112.2,7.688e+06,3.455e+05,1.759e+04,8.051e+06
113.8,8.161e+06,3.764e+05,2.106e+04,8.559e+06
115.3,8.652e+06,3.911e+05,2.995e+04,9.073e+06
116.9,9.323e+06,4.352e+05,4.416e+04,9.802e+06
118.4,9.926e+06,4.975e+05,6.172e+04,1.049e+07
120.0,9.198e+06,4.921e+05,7.042e+04,9.761e+06
121.5,5.155e+06,3.083e+05,4.607e+04,5.510e+06
123.1,3.850e+06,2.542e+05,4.916e+04,4.153e+06
124.7,4.307e+06,3.069e+05,9.072e+04,4.704e+06
126.2,4.809e+06,4.196e+05,1.865e+05,5.416e+06
127.8,5.761e+06,6.887e+05,4.329e+05,6.883e+06
129.3,7.647e+06,1.157e+06,9.272e+05,9.732e+06
130.9,9.197e+06,1.461e+06,1.333e+06,1.199e+07
132.5,6.466e+06,9.747e+05,9.068e+05,8.348e+06
134.0,1.141e+06,1.806e+05,1.586e+05,1.480e+06
135.6,2.022e+05,4.189e+04,3.062e+04,2.747e+05
137.1,1.638e+05,3.014e+04,1.858e+04,2.125e+05
138.7,1.455e+05,2.358e+04,1.242e+04,1.814e+05
140.2,1.366e+05,2.028e+04,9.006e+03,1.659e+05
141.8,1.189e+05,1.595e+04,5.770e+03,1.406e+05
143.4,8.620e+04,1.061e+04,3.632e+03,1.004e+05
144.9,6.574e+04,7.457e+03,2.322e+03,7.552e+04
146.5,5.204e+04,5.460e+03,1.486e+03,5.899e+04
148.0,4.662e+04,4.653e+03,1.067e+03,5.234e+04
149.6,4.799e+04,4.749e+03,8.201e+02,5.356e+04
151.2,5.094e+04,4.711e+03,7.109e+02,5.637e+04
152.7,5.613e+04,4.761e+03,6.657e+02,6.156e+04
154.3,7.501e+04,6.009e+03,7.779e+02,8.179e+04
155.8,1.008e+05,8.335e+03,9.254e+02,1.101e+05
157.4,1.241e+05,1.109e+04,9.578e+02,1.362e+05
158.9,1.858e+05,1.699e+04,1.228e+03,2.040e+05
160.5,2.768e+05,2.603e+04,1.633e+03,3.045e+05
162.1,2.940e+05,2.878e+04,1.554e+03,3.244e+05
163.6,2.707e+05,2.750e+04,1.299e+03,2.995e+05
165.2,2.438e+05,2.544e+04,1.123e+03,2.703e+05
166.7,2.206e+05,2.122e+04,1.000e+03,2.428e+05
168.3,1.939e+05,1.504e+04,7.941e+02,2.097e+05
169.9,1.679e+05,1.301e+04,6.716e+02,1.816e+05
171.4,1.520e+05,1.267e+04,5.933e+02,1.653e+05
173.0,1.431e+05,1.180e+04,5.200e+02,1.554e+05
174.5,1.353e+05,1.083e+04,5.051e+02,1.467e+05
176.1,1.337e+05,1.020e+04,5.411e+02,1.445e+05
177.6,1.235e+05,8.539e+03,4.911e+02,1.325e+05
179.2,1.121e+05,6.808e+03,4.275e+02,1.193e+05
180.8,1.025e+05,5.786e+03,3.610e+02,1.086e+05
182.3,9.595e+04,4.931e+03,3.304e+02,1.012e+05
183.9,9.417e+04,3.606e+03,2.793e+02,9.805e+04
185.4,9.861e+04,3.318e+03,2.430e+02,1.022e+05
187.0,1.028e+05,4.283e+03,2.454e+02,1.073e+05
188.6,1.027e+05,5.252e+03,2.729e+02,1.082e+05
190.1,1.073e+05,6.147e+03,2.860e+02,1.138e+05
191.7,1.288e+05,7.454e+03,3.133e+02,1.366e+05
193.2,1.371e+05,8.589e+03,3.442e+02,1.460e+05
194.8,1.498e+05,9.051e+03,3.673e+02,1.593e+05
196.3,1.425e+05,8.563e+03,3.492e+02,1.515e+05
197.9,1.395e+05,8.552e+03,3.253e+02,1.484e+05
199.5,1.350e+05,8.982e+03,3.019e+02,1.443e+05
