freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.222e+03,1.073e+02,1.249e+02,1.455e+03
1.6,1.135e+03,8.571e+01,1.072e+02,1.328e+03
3.1,4.263e+02,4.243e+01,5.022e+01,5.189e+02
4.7,4.018e+02,4.147e+01,5.295e+01,4.962e+02
6.2,3.788e+02,3.989e+01,5.274e+01,4.714e+02
7.8,3.302e+02,3.980e+01,5.182e+01,4.218e+02
9.4,3.434e+02,3.917e+01,5.492e+01,4.375e+02
10.9,3.645e+02,3.918e+01,5.957e+01,4.632e+02
12.5,3.959e+02,4.194e+01,6.046e+01,4.983e+02
14.0,3.640e+02,3.959e+01,6.261e+01,4.662e+02
15.6,3.467e+02,4.183e+01,5.656e+01,4.451e+02
17.1,3.261e+02,4.084e+01,5.575e+01,4.227e+02
18.7,3.633e+02,4.508e+01,6.007e+01,4.685e+02
20.3,3.838e+02,4.674e+01,6.440e+01,4.949e+02
21.8,3.522e+02,4.604e+01,5.904e+01,4.573e+02
23.4,3.360e+02,4.335e+01,5.907e+01,4.384e+02
24.9,3.583e+02,3.864e+01,5.348e+01,4.504e+02
26.5,3.701e+02,3.899e+01,5.062e+01,4.598e+02
28.1,3.747e+02,4.245e+01,5.418e+01,4.713e+02
29.6,3.543e+02,4.913e+01,5.650e+01,4.599e+02
31.2,3.092e+02,4.077e+01,5.522e+01,4.052e+02
32.7,3.433e+02,4.131e+01,5.158e+01,4.362e+02
34.3,3.811e+02,4.381e+01,5.051e+01,4.755e+02
35.9,3.877e+02,3.901e+01,5.080e+01,4.775e+02
37.4,3.603e+02,3.710e+01,5.416e+01,4.516e+02
39.0,9.278e+03,5.897e+01,5.837e+01,9.395e+03
40.5,6.706e+04,2.659e+02,7.551e+01,6.740e+04
42.1,1.095e+05,6.891e+02,1.117e+02,1.103e+05
43.6,1.202e+05,1.323e+03,1.452e+02,1.217e+05
45.2,1.312e+05,2.214e+03,2.024e+02,1.336e+05
46.8,1.437e+05,3.132e+03,2.965e+02,1.471e+05
48.3,1.534e+05,4.026e+03,3.763e+02,1.578e+05
49.9,1.576e+05,4.571e+03,4.063e+02,1.626e+05
51.4,1.610e+05,4.785e+03,3.878e+02,1.662e+05
53.0,1.748e+05,5.105e+03,3.803e+02,1.803e+05
54.6,1.905e+05,5.364e+03,3.660e+02,1.962e+05
56.1,2.007e+05,5.245e+03,3.076e+02,2.063e+05
57.7,2.120e+05,5.381e+03,2.614e+02,2.176e+05
59.2,2.327e+05,6.182e+03,2.562e+02,2.391e+05
60.8,2.602e+05,6.882e+03,2.455e+02,2.674e+05
62.4,2.950e+05,7.265e+03,2.447e+02,3.025e+05
63.9,3.307e+05,7.430e+03,2.357e+02,3.384e+05
