freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.359e+02,2.488e+03,5.656e+01,2.680e+03
1.6,6.553e+02,1.408e+03,8.782e+01,2.151e+03
3.1,5.378e+02,5.768e+01,7.109e+01,6.666e+02
4.7,4.877e+02,6.429e+01,7.415e+01,6.261e+02
6.2,6.035e+02,5.125e+01,7.045e+01,7.252e+02
7.8,4.885e+02,5.363e+01,6.372e+01,6.059e+02
9.4,4.469e+02,5.064e+01,5.690e+01,5.544e+02
10.9,4.049e+02,5.606e+01,5.647e+01,5.174e+02
12.5,3.952e+02,5.879e+01,6.877e+01,5.228e+02
14.0,4.106e+02,6.170e+01,7.220e+01,5.445e+02
15.6,3.949e+02,5.945e+01,6.459e+01,5.190e+02
17.1,3.740e+02,5.935e+01,5.738e+01,4.907e+02
18.7,3.950e+02,5.596e+01,5.412e+01,5.051e+02
20.3,3.996e+02,5.889e+01,5.779e+01,5.162e+02
21.8,3.727e+02,6.341e+01,6.120e+01,4.973e+02
23.4,3.967e+02,6.645e+01,6.738e+01,5.305e+02
24.9,3.735e+02,5.955e+01,6.645e+01,4.995e+02
26.5,4.063e+02,6.059e+01,6.043e+01,5.273e+02
28.1,4.429e+02,6.229e+01,5.728e+01,5.625e+02
29.6,4.493e+02,6.197e+01,5.613e+01,5.674e+02
31.2,4.093e+02,5.695e+01,5.772e+01,5.240e+02
32.7,4.667e+02,6.006e+01,5.899e+01,5.858e+02
34.3,4.189e+02,6.178e+01,6.136e+01,5.420e+02
35.8,4.416e+02,6.514e+01,6.235e+01,5.691e+02
37.4,4.243e+02,1.155e+02,6.343e+01,6.032e+02
39.0,5.098e+02,1.057e+04,1.413e+02,1.122e+04
40.5,8.731e+02,8.210e+04,4.455e+02,8.342e+04
42.1,1.054e+03,1.413e+05,4.647e+02,1.428e+05
43.6,1.191e+03,1.607e+05,3.538e+02,1.622e+05
45.2,1.313e+03,1.875e+05,2.676e+02,1.891e+05
46.8,1.193e+03,2.256e+05,2.429e+02,2.271e+05
48.3,1.160e+03,2.645e+05,2.611e+02,2.659e+05
49.9,1.025e+03,2.899e+05,2.992e+02,2.912e+05
51.4,9.826e+02,3.080e+05,3.245e+02,3.093e+05
53.0,9.075e+02,3.414e+05,3.756e+02,3.426e+05
54.5,7.889e+02,3.684e+05,6.448e+02,3.698e+05
56.1,6.188e+02,3.710e+05,1.248e+03,3.729e+05
57.7,5.003e+02,3.921e+05,2.036e+03,3.946e+05
59.2,5.418e+02,4.675e+05,2.866e+03,4.709e+05
60.8,6.607e+02,5.931e+05,4.046e+03,5.978e+05
62.3,8.153e+02,7.793e+05,6.006e+03,7.861e+05
63.9,1.089e+03,1.022e+06,8.584e+03,1.032e+06
65.5,2.050e+03,1.282e+06,1.197e+04,1.296e+06
67.0,4.332e+03,1.492e+06,1.696e+04,1.513e+06
68.6,7.432e+03,1.680e+06,2.305e+04,1.710e+06
70.1,1.083e+04,2.011e+06,3.261e+04,2.054e+06
71.7,1.537e+04,2.843e+06,5.506e+04,2.913e+06
73.3,1.900e+04,4.219e+06,1.008e+05,4.338e+06
74.8,1.947e+04,5.707e+06,1.641e+05,5.891e+06
76.4,1.691e+04,6.122e+06,1.982e+05,6.337e+06
77.9,1.499e+04,5.953e+06,2.059e+05,6.174e+06
79.5,1.475e+04,5.260e+06,1.881e+05,5.462e+06
81.0,1.221e+04,5.008e+06,1.741e+05,5.194e+06
82.6,1.172e+04,5.738e+06,1.739e+05,5.924e+06
84.2,1.151e+04,6.588e+06,1.624e+05,6.762e+06
85.7,1.213e+04,7.638e+06,1.457e+05,7.795e+06
87.3,1.446e+04,8.498e+06,1.262e+05,8.638e+06
88.8,1.550e+04,9.247e+06,1.043e+05,9.366e+06
90.4,1.698e+04,9.719e+06,8.251e+04,9.818e+06
92.0,1.965e+04,9.889e+06,6.471e+04,9.973e+06
93.5,2.124e+04,9.829e+06,4.688e+04,9.897e+06
95.1,2.100e+04,9.375e+06,3.111e+04,9.428e+06
96.6,2.056e+04,8.743e+06,1.822e+04,8.781e+06
98.2,1.942e+04,8.099e+06,9.214e+03,8.128e+06
99.7,1.796e+04,7.437e+06,3.549e+03,7.458e+06
101.3,1.623e+04,6.847e+06,1.965e+03,6.865e+06
102.9,1.552e+04,6.262e+06,3.599e+03,6.281e+06
104.4,1.566e+04,5.797e+06,6.626e+03,5.819e+06
106.0,1.670e+04,5.389e+06,9.581e+03,5.415e+06
107.5,1.920e+04,4.323e+06,9.858e+03,4.352e+06
109.1,2.487e+04,3.490e+06,1.088e+04,3.525e+06
110.7,3.196e+04,3.310e+06,1.296e+04,3.355e+06
112.2,4.236e+04,3.213e+06,1.408e+04,3.270e+06
113.8,5.290e+04,3.138e+06,1.483e+04,3.205e+06
115.3,5.840e+04,3.067e+06,1.680e+04,3.142e+06
116.9,6.719e+04,3.006e+06,1.899e+04,3.092e+06
118.5,7.911e+04,2.970e+06,2.267e+04,3.071e+06
120.0,8.998e+04,2.961e+06,2.999e+04,3.081e+06
121.6,1.002e+05,2.947e+06,4.043e+04,3.088e+06
123.1,1.100e+05,2.895e+06,5.560e+04,3.060e+06
124.7,1.226e+05,2.830e+06,7.934e+04,3.032e+06
126.2,1.385e+05,2.766e+06,1.214e+05,3.026e+06
127.8,1.562e+05,2.699e+06,2.074e+05,3.063e+06
129.4,1.479e+05,2.489e+06,3.475e+05,2.984e+06
130.9,9.816e+04,1.971e+06,3.789e+05,2.448e+06
132.5,4.191e+04,1.111e+06,1.892e+05,1.342e+06
134.0,6.332e+03,1.805e+05,2.339e+04,2.102e+05
135.6,1.844e+03,3.161e+04,2.145e+03,3.560e+04
137.2,2.372e+03,3.133e+04,1.076e+03,3.478e+04
138.7,2.483e+03,3.331e+04,5.969e+02,3.639e+04
140.3,2.825e+03,3.202e+04,4.465e+02,3.529e+04
141.8,7.789e+03,3.056e+04,5.762e+02,3.893e+04
143.4,1.551e+04,2.965e+04,8.345e+02,4.599e+04
144.9,3.519e+04,3.147e+04,1.457e+03,6.812e+04
146.5,7.748e+04,3.526e+04,2.127e+03,1.149e+05
148.1,1.120e+05,4.104e+04,2.462e+03,1.555e+05
149.6,1.067e+05,5.166e+04,2.070e+03,1.604e+05
151.2,5.745e+04,6.731e+04,1.345e+03,1.261e+05
152.7,4.124e+04,7.086e+04,9.652e+02,1.131e+05
154.3,3.776e+04,7.064e+04,7.849e+02,1.092e+05
155.9,2.403e+04,7.323e+04,4.472e+02,9.771e+04
157.4,2.536e+04,7.600e+04,3.109e+02,1.017e+05
159.0,2.590e+04,6.958e+04,3.350e+02,9.581e+04
160.5,2.743e+04,5.801e+04,9.029e+02,8.634e+04
162.1,3.640e+04,5.312e+04,2.198e+03,9.172e+04
163.6,8.724e+04,5.469e+04,3.519e+03,1.454e+05
165.2,1.311e+05,5.978e+04,4.240e+03,1.952e+05
166.8,1.267e+05,6.229e+04,4.048e+03,1.931e+05
168.3,1.175e+05,6.877e+04,4.102e+03,1.904e+05
169.9,8.643e+04,8.141e+04,3.996e+03,1.718e+05
171.4,5.800e+04,8.344e+04,3.582e+03,1.450e+05
173.0,5.411e+04,8.420e+04,3.658e+03,1.420e+05
174.6,4.620e+04,8.515e+04,3.506e+03,1.349e+05
176.1,3.538e+04,8.845e+04,3.123e+03,1.270e+05
177.7,3.195e+04,9.277e+04,3.023e+03,1.277e+05
179.2,2.637e+04,1.168e+05,3.350e+03,1.465e+05
180.8,2.266e+04,1.639e+05,3.415e+03,1.900e+05
182.4,2.743e+04,1.875e+05,3.139e+03,2.181e+05
183.9,2.774e+04,1.914e+05,3.174e+03,2.223e+05
185.5,2.250e+04,1.930e+05,3.112e+03,2.186e+05
187.0,1.999e+04,2.150e+05,3.082e+03,2.381e+05
188.6,2.241e+04,2.479e+05,3.188e+03,2.735e+05
190.1,2.998e+04,2.672e+05,3.197e+03,3.004e+05
191.7,3.779e+04,2.787e+05,3.224e+03,3.197e+05
193.3,4.537e+04,2.808e+05,3.224e+03,3.294e+05
194.8,5.716e+04,2.720e+05,3.406e+03,3.325e+05
196.4,6.746e+04,2.597e+05,3.678e+03,3.309e+05
197.9,7.070e+04,2.401e+05,3.823e+03,3.146e+05
199.5,6.739e+04,2.199e+05,3.886e+03,2.912e+05
