freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.797e+02,8.420e+01,2.776e+01,9.916e+02
1.6,1.213e+03,8.698e+01,5.242e+01,1.353e+03
3.1,6.568e+02,4.443e+01,5.077e+01,7.520e+02
4.7,1.029e+03,4.088e+01,5.366e+01,1.123e+03
6.2,1.888e+03,4.258e+01,5.302e+01,1.983e+03
7.8,2.775e+03,3.964e+01,5.511e+01,2.870e+03
9.4,3.757e+03,4.349e+01,5.216e+01,3.852e+03
10.9,4.797e+03,4.695e+01,5.392e+01,4.898e+03
12.5,5.988e+03,4.567e+01,5.340e+01,6.087e+03
14.0,7.428e+03,4.647e+01,5.169e+01,7.526e+03
15.6,9.088e+03,5.188e+01,5.307e+01,9.193e+03
17.1,1.101e+04,5.376e+01,5.495e+01,1.112e+04
18.7,1.307e+04,5.040e+01,5.422e+01,1.317e+04
20.3,1.531e+04,4.705e+01,5.583e+01,1.541e+04
21.8,1.766e+04,5.383e+01,5.331e+01,1.776e+04
23.4,2.029e+04,6.088e+01,5.153e+01,2.040e+04
24.9,2.309e+04,6.951e+01,4.961e+01,2.321e+04
26.5,2.625e+04,7.293e+01,5.435e+01,2.638e+04
28.1,2.961e+04,7.595e+01,5.234e+01,2.974e+04
29.6,3.315e+04,8.209e+01,5.022e+01,3.328e+04
31.2,3.748e+04,9.385e+01,5.570e+01,3.763e+04
32.7,4.203e+04,1.164e+02,5.301e+01,4.220e+04
34.3,4.637e+04,1.544e+02,5.072e+01,4.657e+04
35.9,5.092e+04,1.922e+02,5.394e+01,5.117e+04
37.4,5.748e+04,2.902e+02,6.866e+01,5.784e+04
39.0,6.337e+04,4.654e+02,1.299e+02,6.396e+04
40.5,6.875e+04,5.135e+02,1.771e+02,6.944e+04
42.1,7.654e+04,5.273e+02,1.955e+02,7.727e+04
43.7,8.349e+04,5.663e+02,2.033e+02,8.426e+04
45.2,9.230e+04,6.315e+02,1.878e+02,9.312e+04
46.8,9.975e+04,7.712e+02,1.752e+02,1.007e+05
48.3,1.037e+05,9.290e+02,1.830e+02,1.048e+05
49.9,1.037e+05,1.020e+03,1.908e+02,1.049e+05
51.4,1.043e+05,9.521e+02,1.638e+02,1.054e+05
53.0,1.102e+05,8.504e+02,1.219e+02,1.112e+05
54.6,1.181e+05,8.034e+02,1.018e+02,1.190e+05
56.1,1.233e+05,7.857e+02,7.997e+01,1.241e+05
57.7,1.307e+05,6.397e+02,5.900e+01,1.314e+05
59.2,1.460e+05,3.698e+02,5.176e+01,1.464e+05
60.8,1.643e+05,1.922e+02,6.127e+01,1.645e+05
62.4,1.835e+05,2.385e+02,6.945e+01,1.838e+05
63.9,2.035e+05,3.273e+02,6.809e+01,2.039e+05
65.5,2.244e+05,3.478e+02,7.134e+01,2.248e+05
67.0,2.365e+05,3.956e+02,7.516e+01,2.370e+05
68.6,2.392e+05,5.874e+02,6.674e+01,2.398e+05
70.2,2.483e+05,6.566e+02,7.276e+01,2.491e+05
71.7,2.728e+05,6.878e+02,7.870e+01,2.736e+05
73.3,3.000e+05,9.665e+02,9.916e+01,3.011e+05
74.8,3.287e+05,1.400e+03,1.277e+02,3.302e+05
76.4,3.614e+05,2.458e+03,1.813e+02,3.641e+05
77.9,3.918e+05,4.550e+03,3.137e+02,3.967e+05
79.5,4.082e+05,7.320e+03,5.036e+02,4.161e+05
81.1,4.128e+05,1.202e+04,8.201e+02,4.256e+05
82.6,4.547e+05,2.158e+04,1.429e+03,4.777e+05
84.2,5.141e+05,3.173e+04,2.063e+03,5.479e+05
85.7,5.818e+05,3.800e+04,2.407e+03,6.222e+05
87.3,6.460e+05,4.111e+04,2.519e+03,6.896e+05
88.9,7.145e+05,4.149e+04,2.186e+03,7.582e+05
90.4,7.918e+05,4.238e+04,1.721e+03,8.359e+05
92.0,8.718e+05,4.846e+04,1.463e+03,9.217e+05
93.5,9.567e+05,6.234e+04,1.296e+03,1.020e+06
95.1,1.050e+06,9.616e+04,1.396e+03,1.148e+06
96.7,1.148e+06,1.558e+05,1.508e+03,1.306e+06
98.2,1.266e+06,2.249e+05,1.591e+03,1.493e+06
99.8,1.402e+06,2.768e+05,2.265e+03,1.681e+06
101.3,1.587e+06,2.928e+05,3.901e+03,1.883e+06
102.9,1.803e+06,2.672e+05,7.455e+03,2.078e+06
