freq,psd_x,psd_y,psd_z,psd_xyz
141.1,1.730e+04,2.613e+04,7.562e+02,4.418e+04
142.6,3.300e+04,2.413e+04,6.262e+02,5.775e+04
144.2,7.803e+04,2.357e+04,1.195e+03,1.028e+05
145.7,1.427e+05,2.559e+04,2.595e+03,1.709e+05
147.2,1.605e+05,2.506e+04,4.151e+03,1.897e+05
148.8,7.192e+04,2.747e+04,3.679e+03,1.031e+05
150.3,2.050e+04,5.987e+04,4.083e+03,8.446e+04
151.8,3.197e+04,1.265e+05,7.312e+03,1.657e+05
153.4,4.058e+04,1.921e+05,1.228e+04,2.449e+05
154.9,5.550e+04,2.370e+05,1.528e+04,3.078e+05
156.4,7.641e+04,2.524e+05,1.523e+04,3.440e+05
158.0,8.581e+04,2.213e+05,1.217e+04,3.193e+05
159.5,7.827e+04,1.733e+05,8.563e+03,2.601e+05
161.0,8.414e+04,1.430e+05,6.568e+03,2.337e+05
162.6,8.081e+04,1.197e+05,5.310e+03,2.058e+05
164.1,6.881e+04,1.056e+05,4.628e+03,1.790e+05
165.6,5.885e+04,1.018e+05,4.221e+03,1.649e+05
167.2,5.362e+04,1.018e+05,2.943e+03,1.584e+05
168.7,6.730e+04,1.127e+05,2.015e+03,1.820e+05
170.2,8.300e+04,1.265e+05,1.901e+03,2.114e+05
171.8,8.826e+04,1.354e+05,2.039e+03,2.257e+05
173.3,8.870e+04,1.385e+05,2.148e+03,2.293e+05
174.8,9.262e+04,1.362e+05,2.106e+03,2.309e+05
176.4,1.031e+05,1.147e+05,1.937e+03,2.198e+05
177.9,1.152e+05,9.662e+04,1.844e+03,2.137e+05
179.4,1.337e+05,1.121e+05,2.210e+03,2.480e+05
181.0,1.590e+05,1.245e+05,2.477e+03,2.860e+05
182.5,1.940e+05,1.243e+05,2.520e+03,3.208e+05
184.0,1.936e+05,1.255e+05,2.657e+03,3.218e+05
185.6,1.751e+05,1.256e+05,2.811e+03,3.035e+05
187.1,1.675e+05,1.110e+05,2.522e+03,2.810e+05
188.7,1.515e+05,8.981e+04,2.117e+03,2.434e+05
190.2,1.431e+05,8.510e+04,2.165e+03,2.304e+05
191.7,1.462e+05,8.769e+04,2.444e+03,2.363e+05
193.3,1.520e+05,9.215e+04,2.755e+03,2.469e+05
194.8,1.609e+05,9.339e+04,3.012e+03,2.573e+05
196.3,1.422e+05,8.962e+04,2.907e+03,2.347e+05
197.9,1.162e+05,9.535e+04,3.153e+03,2.147e+05
199.4,1.043e+05,1.080e+05,3.592e+03,2.159e+05
