freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.952e+02,3.684e+03,3.456e+01,4.014e+03
1.6,2.651e+03,2.180e+03,1.248e+02,4.956e+03
3.1,2.147e+03,1.736e+02,1.155e+02,2.436e+03
4.7,2.026e+03,5.129e+02,1.051e+02,2.644e+03
6.2,2.359e+03,1.450e+03,1.152e+02,3.924e+03
7.8,2.329e+03,2.295e+03,1.214e+02,4.745e+03
9.4,2.323e+03,3.305e+03,1.188e+02,5.746e+03
10.9,2.140e+03,4.435e+03,1.201e+02,6.695e+03
12.5,2.097e+03,5.866e+03,1.249e+02,8.088e+03
14.0,2.080e+03,7.524e+03,1.327e+02,9.737e+03
15.6,2.314e+03,9.379e+03,1.323e+02,1.183e+04
17.1,2.564e+03,1.154e+04,1.447e+02,1.425e+04
18.7,2.638e+03,1.403e+04,1.558e+02,1.682e+04
20.3,2.557e+03,1.680e+04,1.483e+02,1.950e+04
21.8,2.381e+03,1.989e+04,1.607e+02,2.243e+04
23.4,2.217e+03,2.309e+04,1.742e+02,2.548e+04
24.9,2.277e+03,2.681e+04,1.945e+02,2.928e+04
26.5,2.600e+03,3.184e+04,2.187e+02,3.466e+04
28.1,2.825e+03,3.776e+04,2.859e+02,4.087e+04
29.6,2.946e+03,4.354e+04,3.572e+02,4.685e+04
31.2,2.883e+03,4.877e+04,4.002e+02,5.205e+04
32.7,2.802e+03,5.216e+04,3.527e+02,5.531e+04
34.3,2.595e+03,5.606e+04,3.904e+02,5.904e+04
35.9,2.444e+03,6.254e+04,6.073e+02,6.559e+04
37.4,1.802e+03,7.356e+04,7.704e+02,7.613e+04
39.0,3.008e+03,8.506e+04,8.843e+02,8.895e+04
40.5,3.187e+03,9.475e+04,8.905e+02,9.883e+04
42.1,3.360e+03,1.025e+05,7.369e+02,1.066e+05
43.6,3.613e+03,1.074e+05,5.968e+02,1.116e+05
45.2,3.237e+03,1.164e+05,4.974e+02,1.202e+05
46.8,2.078e+03,1.300e+05,3.468e+02,1.324e+05
48.3,1.932e+03,1.465e+05,2.869e+02,1.487e+05
49.9,2.687e+03,1.582e+05,2.601e+02,1.611e+05
51.4,2.648e+03,1.675e+05,2.534e+02,1.704e+05
53.0,2.937e+03,1.979e+05,2.629e+02,2.011e+05
54.6,3.239e+03,2.352e+05,2.441e+02,2.387e+05
56.1,3.167e+03,2.579e+05,2.550e+02,2.613e+05
57.7,2.949e+03,2.815e+05,2.789e+02,2.848e+05
59.2,2.650e+03,3.308e+05,3.768e+02,3.339e+05
60.8,2.418e+03,4.045e+05,7.243e+02,4.077e+05
62.4,2.494e+03,5.073e+05,1.305e+03,5.111e+05
63.9,3.104e+03,6.272e+05,1.981e+03,6.323e+05
65.5,4.005e+03,7.463e+05,2.620e+03,7.529e+05
67.0,4.788e+03,8.302e+05,3.275e+03,8.383e+05
68.6,5.117e+03,8.579e+05,4.287e+03,8.674e+05
70.2,5.824e+03,9.546e+05,6.659e+03,9.671e+05
71.7,7.857e+03,1.172e+06,1.229e+04,1.192e+06
73.3,1.165e+04,1.490e+06,2.530e+04,1.527e+06
74.8,1.684e+04,2.147e+06,5.173e+04,2.216e+06
76.4,2.132e+04,3.999e+06,8.502e+04,4.105e+06
77.9,1.967e+04,8.571e+06,1.034e+05,8.694e+06
79.5,1.264e+04,1.829e+07,7.891e+04,1.838e+07
81.1,1.014e+04,2.662e+07,5.092e+04,2.668e+07
82.6,9.150e+03,2.914e+07,6.786e+04,2.922e+07
84.2,1.054e+04,2.771e+07,8.242e+04,2.780e+07
85.7,1.437e+04,2.447e+07,7.705e+04,2.457e+07
87.3,1.969e+04,2.031e+07,5.110e+04,2.038e+07
88.9,2.545e+04,1.728e+07,3.433e+04,1.734e+07
90.4,3.076e+04,1.508e+07,2.720e+04,1.514e+07
92.0,3.468e+04,1.325e+07,2.383e+04,1.330e+07
93.5,3.691e+04,1.158e+07,2.180e+04,1.164e+07
95.1,4.034e+04,1.015e+07,2.190e+04,1.021e+07
96.7,4.619e+04,8.948e+06,2.348e+04,9.018e+06
98.2,5.442e+04,7.992e+06,2.553e+04,8.072e+06
99.8,6.280e+04,7.212e+06,2.772e+04,7.303e+06
101.3,7.109e+04,6.545e+06,2.932e+04,6.645e+06
102.9,7.915e+04,5.972e+06,3.014e+04,6.082e+06
104.4,8.492e+04,5.413e+06,2.939e+04,5.527e+06
106.0,8.676e+04,4.709e+06,2.629e+04,4.822e+06
107.6,7.975e+04,3.400e+06,1.881e+04,3.498e+06
109.1,7.544e+04,2.532e+06,1.631e+04,2.624e+06
110.7,8.121e+04,2.400e+06,2.028e+04,2.501e+06
112.2,9.103e+04,2.390e+06,2.557e+04,2.507e+06
113.8,1.075e+05,2.424e+06,3.179e+04,2.563e+06
115.4,1.258e+05,2.451e+06,3.833e+04,2.616e+06
116.9,1.406e+05,2.447e+06,4.469e+04,2.632e+06
118.5,1.534e+05,2.417e+06,5.258e+04,2.623e+06
120.0,1.664e+05,2.375e+06,6.133e+04,2.603e+06
121.6,1.813e+05,2.322e+06,7.232e+04,2.575e+06
123.2,1.980e+05,2.257e+06,8.192e+04,2.537e+06
124.7,2.152e+05,2.199e+06,8.885e+04,2.504e+06
126.3,2.270e+05,2.169e+06,1.029e+05,2.499e+06
127.8,2.367e+05,2.160e+06,1.173e+05,2.513e+06
129.4,2.621e+05,2.178e+06,1.402e+05,2.581e+06
130.9,3.002e+05,2.158e+06,1.837e+05,2.642e+06
132.5,2.108e+05,1.369e+06,1.449e+05,1.725e+06
134.1,3.723e+04,2.382e+05,2.227e+04,2.976e+05
135.6,1.275e+04,7.691e+04,3.840e+03,9.350e+04
137.2,1.055e+04,5.873e+04,2.603e+03,7.188e+04
138.7,7.585e+03,4.189e+04,1.598e+03,5.107e+04
140.3,6.659e+03,3.162e+04,1.098e+03,3.938e+04
141.9,6.413e+03,2.867e+04,8.926e+02,3.598e+04
143.4,6.166e+03,2.693e+04,6.647e+02,3.376e+04
145.0,6.112e+03,2.666e+04,4.693e+02,3.324e+04
146.5,7.086e+03,2.668e+04,3.682e+02,3.413e+04
148.1,7.951e+03,2.685e+04,3.232e+02,3.512e+04
149.7,9.406e+03,3.137e+04,3.589e+02,4.113e+04
151.2,1.344e+04,3.992e+04,6.403e+02,5.401e+04
152.8,2.387e+04,4.750e+04,1.492e+03,7.287e+04
154.3,5.045e+04,6.392e+04,3.569e+03,1.179e+05
155.9,8.408e+04,9.386e+04,7.572e+03,1.855e+05
157.4,1.038e+05,1.494e+05,1.636e+04,2.696e+05
159.0,1.047e+05,2.419e+05,3.217e+04,3.788e+05
160.6,6.914e+04,3.157e+05,4.196e+04,4.268e+05
162.1,4.458e+04,3.649e+05,4.623e+04,4.557e+05
163.7,4.210e+04,3.805e+05,4.883e+04,4.714e+05
165.2,7.285e+04,3.644e+05,5.032e+04,4.876e+05
166.8,1.235e+05,3.707e+05,5.470e+04,5.489e+05
168.4,1.720e+05,3.695e+05,5.688e+04,5.984e+05
169.9,1.463e+05,3.842e+05,5.357e+04,5.841e+05
171.5,9.643e+04,3.978e+05,4.936e+04,5.436e+05
173.0,9.312e+04,3.953e+05,4.457e+04,5.330e+05
174.6,9.706e+04,4.080e+05,4.133e+04,5.464e+05
