freq,psd_x,psd_y,psd_z,psd_xyz
154.6,2.773e+04,5.382e+03,1.052e+03,3.416e+04
156.2,2.470e+04,4.119e+03,8.451e+02,2.966e+04
157.7,2.258e+04,3.011e+03,6.935e+02,2.628e+04
159.3,2.106e+04,2.445e+03,5.851e+02,2.409e+04
160.9,1.865e+04,3.303e+03,4.843e+02,2.243e+04
162.4,1.602e+04,4.554e+03,3.927e+02,2.097e+04
164.0,1.409e+04,4.407e+03,2.951e+02,1.880e+04
165.6,1.381e+04,4.197e+03,2.655e+02,1.827e+04
167.1,1.582e+04,4.451e+03,3.078e+02,2.058e+04
168.7,2.623e+04,4.889e+03,4.373e+02,3.156e+04
170.2,4.391e+04,5.571e+03,6.360e+02,5.011e+04
171.8,4.726e+04,5.949e+03,6.171e+02,5.383e+04
173.4,4.321e+04,6.446e+03,5.432e+02,5.020e+04
174.9,3.871e+04,7.480e+03,4.833e+02,4.668e+04
176.5,3.353e+04,7.443e+03,4.164e+02,4.139e+04
178.0,3.029e+04,7.659e+03,3.023e+02,3.825e+04
179.6,2.877e+04,7.313e+03,2.424e+02,3.632e+04
181.2,2.672e+04,7.994e+03,2.478e+02,3.496e+04
182.7,2.520e+04,9.203e+03,2.704e+02,3.468e+04
184.3,2.423e+04,9.459e+03,2.596e+02,3.395e+04
185.9,2.380e+04,9.551e+03,2.267e+02,3.357e+04
187.4,2.318e+04,9.827e+03,1.892e+02,3.319e+04
189.0,2.259e+04,1.189e+04,1.587e+02,3.464e+04
190.5,2.130e+04,1.192e+04,1.588e+02,3.338e+04
192.1,1.991e+04,1.074e+04,1.573e+02,3.081e+04
193.7,1.889e+04,9.800e+03,1.558e+02,2.884e+04
195.2,1.732e+04,8.883e+03,1.527e+02,2.635e+04
196.8,1.734e+04,8.556e+03,1.337e+02,2.603e+04
198.4,1.664e+04,9.662e+03,1.233e+02,2.642e+04
199.9,2.051e+04,1.046e+04,1.223e+02,3.110e+04
