freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.551e+03,2.139e+02,1.071e+02,1.872e+03
1.6,2.835e+03,4.172e+02,5.009e+02,3.753e+03
3.1,2.292e+03,5.119e+02,7.283e+02,3.532e+03
4.7,2.478e+03,3.989e+02,5.925e+02,3.470e+03
6.2,3.165e+03,3.014e+02,4.573e+02,3.923e+03
7.8,3.929e+03,2.824e+02,4.511e+02,4.663e+03
9.3,4.785e+03,3.100e+02,4.696e+02,5.564e+03
10.9,5.785e+03,3.537e+02,4.414e+02,6.580e+03
12.4,7.077e+03,3.556e+02,4.268e+02,7.859e+03
14.0,8.529e+03,3.915e+02,4.442e+02,9.364e+03
15.6,1.030e+04,4.445e+02,4.542e+02,1.120e+04
17.1,1.204e+04,4.807e+02,6.108e+02,1.313e+04
18.7,1.417e+04,5.926e+02,7.839e+02,1.554e+04
20.2,1.650e+04,5.987e+02,6.146e+02,1.771e+04
21.8,1.940e+04,5.663e+02,4.951e+02,2.046e+04
23.3,2.331e+04,6.191e+02,4.719e+02,2.440e+04
24.9,2.578e+04,6.118e+02,4.922e+02,2.688e+04
26.4,2.782e+04,7.223e+02,6.061e+02,2.915e+04
28.0,3.086e+04,7.589e+02,6.815e+02,3.230e+04
29.6,3.302e+04,7.125e+02,6.518e+02,3.438e+04
31.1,3.737e+04,7.354e+02,5.086e+02,3.862e+04
32.7,4.295e+04,8.574e+02,4.735e+02,4.429e+04
34.2,4.795e+04,1.017e+03,5.005e+02,4.947e+04
35.8,5.485e+04,1.140e+03,5.903e+02,5.658e+04
37.3,6.394e+04,9.205e+02,5.767e+02,6.544e+04
38.9,7.285e+04,7.231e+02,5.574e+02,7.413e+04
40.4,7.862e+04,5.464e+02,5.399e+02,7.971e+04
42.0,8.096e+04,4.104e+02,5.127e+02,8.188e+04
43.6,8.826e+04,5.919e+02,5.519e+02,8.941e+04
45.1,9.961e+04,9.259e+02,6.033e+02,1.011e+05
46.7,1.118e+05,1.449e+03,1.243e+03,1.145e+05
48.2,1.240e+05,3.157e+03,4.300e+03,1.315e+05
49.8,1.350e+05,3.450e+03,4.587e+03,1.431e+05
51.3,1.437e+05,1.759e+03,1.536e+03,1.470e+05
52.9,1.436e+05,1.590e+03,6.605e+02,1.459e+05
54.4,1.473e+05,1.803e+03,5.329e+02,1.496e+05
56.0,1.633e+05,1.785e+03,5.352e+02,1.656e+05
57.6,1.856e+05,1.567e+03,6.115e+02,1.878e+05
59.1,2.067e+05,1.647e+03,6.809e+02,2.091e+05
60.7,2.311e+05,1.698e+03,6.781e+02,2.335e+05
62.2,2.606e+05,2.049e+03,9.467e+02,2.636e+05
63.8,2.934e+05,3.708e+03,3.218e+03,3.003e+05
65.3,3.320e+05,7.176e+03,8.753e+03,3.480e+05
66.9,3.604e+05,2.088e+04,3.075e+04,4.120e+05
68.4,3.829e+05,2.988e+04,4.475e+04,4.575e+05
70.0,3.812e+05,8.863e+03,1.130e+04,4.013e+05
71.6,4.092e+05,3.011e+03,1.484e+03,4.137e+05
73.1,4.263e+05,3.320e+03,1.280e+03,4.309e+05
74.7,4.116e+05,3.753e+03,1.193e+03,4.166e+05
76.2,4.474e+05,4.283e+03,1.443e+03,4.532e+05
77.8,5.194e+05,6.492e+03,2.206e+03,5.280e+05
79.3,6.116e+05,1.041e+04,3.019e+03,6.250e+05
80.9,7.263e+05,1.749e+04,4.244e+03,7.480e+05
82.5,8.637e+05,5.676e+04,6.022e+03,9.265e+05
84.0,9.889e+05,1.588e+05,8.257e+03,1.156e+06
85.6,1.132e+06,2.894e+05,1.152e+04,1.433e+06
87.1,1.272e+06,4.962e+05,1.478e+04,1.783e+06
88.7,1.378e+06,6.937e+05,1.417e+04,2.086e+06
90.2,1.508e+06,8.280e+05,1.250e+04,2.348e+06
91.8,1.678e+06,8.025e+05,1.075e+04,2.492e+06
93.3,1.911e+06,7.327e+05,1.173e+04,2.656e+06
94.9,2.226e+06,5.587e+05,1.187e+04,2.796e+06
96.5,2.472e+06,4.875e+05,1.125e+04,2.971e+06
98.0,2.701e+06,5.745e+05,1.432e+04,3.290e+06
99.6,3.007e+06,4.533e+05,1.226e+04,3.472e+06
101.1,3.306e+06,3.317e+05,6.981e+03,3.644e+06
102.7,3.637e+06,2.749e+05,5.129e+03,3.917e+06
104.2,4.081e+06,2.702e+05,4.517e+03,4.355e+06
105.8,4.474e+06,2.870e+05,3.985e+03,4.765e+06
107.3,4.809e+06,3.041e+05,4.245e+03,5.118e+06
108.9,5.132e+06,3.493e+05,4.659e+03,5.486e+06
110.5,5.546e+06,4.241e+05,5.589e+03,5.976e+06
112.0,6.148e+06,5.396e+05,8.669e+03,6.696e+06
113.6,6.838e+06,6.502e+05,1.390e+04,7.503e+06
115.1,7.623e+06,7.140e+05,1.969e+04,8.357e+06
116.7,8.098e+06,6.793e+05,2.507e+04,8.802e+06
118.2,8.164e+06,5.737e+05,3.038e+04,8.768e+06
119.8,7.269e+06,4.322e+05,3.388e+04,7.735e+06
121.3,4.083e+06,2.144e+05,2.497e+04,4.322e+06
122.9,2.521e+06,1.477e+05,2.417e+04,2.693e+06
124.5,2.381e+06,2.346e+05,3.570e+04,2.651e+06
126.0,2.480e+06,3.968e+05,6.774e+04,2.944e+06
127.6,3.008e+06,6.041e+05,1.571e+05,3.770e+06
129.1,3.688e+06,8.624e+05,3.453e+05,4.896e+06
130.7,4.404e+06,1.284e+06,6.378e+05,6.326e+06
132.2,4.140e+06,1.439e+06,7.423e+05,6.321e+06
133.8,1.231e+06,4.678e+05,2.532e+05,1.952e+06
135.3,1.925e+05,9.363e+04,6.026e+04,3.464e+05
136.9,1.523e+05,7.205e+04,3.754e+04,2.619e+05
138.5,1.273e+05,5.410e+04,2.342e+04,2.048e+05
140.0,1.123e+05,3.766e+04,1.515e+04,1.651e+05
141.6,9.641e+04,2.186e+04,9.255e+03,1.275e+05
143.1,8.221e+04,1.420e+04,5.963e+03,1.024e+05
144.7,7.316e+04,9.708e+03,4.221e+03,8.709e+04
146.2,6.103e+04,7.573e+03,2.745e+03,7.135e+04
147.8,4.898e+04,6.180e+03,1.986e+03,5.714e+04
149.3,3.995e+04,5.562e+03,1.434e+03,4.695e+04
150.9,3.474e+04,4.982e+03,1.163e+03,4.089e+04
152.5,3.320e+04,4.057e+03,1.148e+03,3.841e+04
154.0,3.649e+04,4.039e+03,1.279e+03,4.180e+04
155.6,4.395e+04,4.722e+03,1.397e+03,5.007e+04
157.1,4.992e+04,5.178e+03,1.421e+03,5.652e+04
158.7,7.704e+04,8.401e+03,1.645e+03,8.709e+04
160.2,1.358e+05,1.610e+04,2.288e+03,1.542e+05
161.8,1.589e+05,1.914e+04,2.418e+03,1.805e+05
163.3,1.519e+05,1.782e+04,2.298e+03,1.720e+05
164.9,1.407e+05,1.614e+04,2.041e+03,1.589e+05
166.5,1.291e+05,1.490e+04,1.794e+03,1.458e+05
168.0,1.154e+05,1.431e+04,1.712e+03,1.314e+05
169.6,9.718e+04,1.463e+04,1.582e+03,1.134e+05
171.1,6.334e+04,1.065e+04,1.622e+03,7.562e+04
172.7,4.970e+04,9.069e+03,1.715e+03,6.048e+04
174.2,8.749e+04,1.108e+04,1.908e+03,1.005e+05
175.8,8.928e+04,1.548e+04,1.385e+03,1.061e+05
177.3,7.583e+04,1.841e+04,1.046e+03,9.529e+04
178.9,6.995e+04,1.985e+04,1.229e+03,9.103e+04
180.5,6.230e+04,2.048e+04,1.142e+03,8.393e+04
182.0,5.650e+04,2.078e+04,9.477e+02,7.822e+04
183.6,5.198e+04,2.056e+04,1.182e+03,7.372e+04
185.1,4.770e+04,2.103e+04,1.481e+03,7.021e+04
186.7,4.985e+04,2.305e+04,1.039e+03,7.395e+04
188.2,5.608e+04,2.970e+04,8.069e+02,8.659e+04
189.8,7.265e+04,4.841e+04,9.381e+02,1.220e+05
191.3,1.409e+05,8.492e+04,1.465e+03,2.273e+05
192.9,2.429e+05,1.315e+05,2.188e+03,3.766e+05
194.5,1.549e+05,7.732e+04,1.615e+03,2.339e+05
196.0,8.518e+04,3.539e+04,1.104e+03,1.217e+05
197.6,8.903e+04,3.394e+04,1.020e+03,1.240e+05
199.1,9.984e+04,3.618e+04,1.098e+03,1.371e+05
