freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.585e+03,1.053e+02,4.959e+01,1.740e+03
1.5,9.897e+02,8.956e+01,1.475e+02,1.227e+03
3.1,8.121e+01,4.105e+01,1.436e+02,2.659e+02
4.6,4.150e+02,4.577e+01,1.257e+02,5.864e+02
6.2,1.325e+03,6.296e+01,1.191e+02,1.507e+03
7.7,2.155e+03,7.098e+01,1.402e+02,2.366e+03
9.2,3.086e+03,8.726e+01,1.401e+02,3.314e+03
10.8,4.239e+03,1.107e+02,1.285e+02,4.478e+03
12.3,5.595e+03,1.339e+02,1.338e+02,5.863e+03
13.9,7.112e+03,1.744e+02,1.553e+02,7.441e+03
15.4,8.736e+03,1.992e+02,1.671e+02,9.103e+03
17.0,1.029e+04,2.315e+02,1.452e+02,1.067e+04
18.5,1.228e+04,2.703e+02,1.355e+02,1.268e+04
20.0,1.470e+04,3.131e+02,1.239e+02,1.513e+04
21.6,1.696e+04,3.685e+02,1.418e+02,1.747e+04
23.1,1.908e+04,4.509e+02,1.496e+02,1.968e+04
24.7,2.104e+04,5.164e+02,1.419e+02,2.170e+04
26.2,2.303e+04,5.815e+02,1.353e+02,2.374e+04
27.7,2.587e+04,6.600e+02,1.448e+02,2.668e+04
29.3,2.829e+04,7.244e+02,1.452e+02,2.916e+04
30.8,3.219e+04,8.333e+02,1.442e+02,3.317e+04
32.4,3.631e+04,9.445e+02,1.598e+02,3.742e+04
33.9,3.923e+04,1.052e+03,1.445e+02,4.043e+04
35.4,4.357e+04,1.193e+03,1.286e+02,4.489e+04
37.0,4.961e+04,1.342e+03,1.254e+02,5.108e+04
38.5,5.435e+04,1.487e+03,1.380e+02,5.598e+04
40.1,5.718e+04,1.565e+03,1.522e+02,5.890e+04
41.6,5.848e+04,1.400e+03,1.731e+02,6.005e+04
43.2,6.385e+04,1.243e+03,1.865e+02,6.528e+04
44.7,7.317e+04,1.273e+03,2.048e+02,7.465e+04
46.2,8.240e+04,1.270e+03,2.265e+02,8.390e+04
47.8,9.116e+04,1.302e+03,2.325e+02,9.270e+04
49.3,9.971e+04,1.634e+03,2.412e+02,1.016e+05
50.9,1.079e+05,2.391e+03,2.193e+02,1.105e+05
52.4,1.120e+05,2.968e+03,1.969e+02,1.152e+05
53.9,1.106e+05,3.152e+03,1.910e+02,1.140e+05
55.5,1.201e+05,3.603e+03,1.920e+02,1.239e+05
57.0,1.341e+05,4.009e+03,1.934e+02,1.383e+05
58.6,1.509e+05,4.627e+03,2.052e+02,1.557e+05
60.1,1.694e+05,5.629e+03,1.850e+02,1.752e+05
61.6,1.890e+05,7.344e+03,1.618e+02,1.965e+05
63.2,2.129e+05,9.186e+03,1.725e+02,2.223e+05
64.7,2.356e+05,1.060e+04,1.534e+02,2.464e+05
66.3,2.479e+05,1.203e+04,1.422e+02,2.600e+05
67.8,2.644e+05,1.354e+04,1.512e+02,2.781e+05
69.4,2.893e+05,1.638e+04,1.588e+02,3.059e+05
70.9,3.156e+05,2.050e+04,1.807e+02,3.363e+05
72.4,3.369e+05,2.548e+04,2.148e+02,3.626e+05
74.0,3.294e+05,3.581e+04,2.833e+02,3.655e+05
75.5,3.298e+05,5.772e+04,5.485e+02,3.881e+05
77.1,3.716e+05,8.440e+04,1.052e+03,4.571e+05
