freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.905e+01,5.936e+03,4.809e+01,6.053e+03
1.6,9.491e+01,3.322e+03,1.284e+02,3.545e+03
3.1,7.968e+01,3.783e+01,1.363e+02,2.539e+02
4.7,9.316e+01,4.113e+02,1.254e+02,6.298e+02
6.2,1.015e+02,1.373e+03,1.408e+02,1.615e+03
7.8,1.171e+02,2.246e+03,1.377e+02,2.501e+03
9.3,1.233e+02,3.331e+03,1.473e+02,3.601e+03
10.9,1.450e+02,4.706e+03,1.313e+02,4.982e+03
12.5,1.617e+02,6.235e+03,1.288e+02,6.525e+03
14.0,1.757e+02,7.808e+03,1.453e+02,8.129e+03
15.6,1.959e+02,9.530e+03,1.385e+02,9.864e+03
17.1,2.265e+02,1.188e+04,1.485e+02,1.226e+04
18.7,2.625e+02,1.363e+04,1.616e+02,1.405e+04
20.3,3.246e+02,1.553e+04,1.386e+02,1.599e+04
21.8,3.442e+02,1.893e+04,1.537e+02,1.943e+04
23.4,3.497e+02,2.313e+04,1.576e+02,2.364e+04
24.9,4.051e+02,2.763e+04,1.613e+02,2.819e+04
26.5,4.533e+02,3.356e+04,1.621e+02,3.417e+04
28.0,4.682e+02,3.870e+04,1.580e+02,3.933e+04
29.6,4.536e+02,4.368e+04,1.538e+02,4.429e+04
31.2,4.813e+02,5.197e+04,1.325e+02,5.259e+04
32.7,5.954e+02,5.971e+04,1.341e+02,6.044e+04
34.3,7.236e+02,6.666e+04,1.632e+02,6.755e+04
35.8,8.725e+02,7.816e+04,1.949e+02,7.923e+04
37.4,1.004e+03,9.070e+04,2.316e+02,9.194e+04
38.9,1.149e+03,1.048e+05,2.414e+02,1.061e+05
40.5,1.322e+03,1.196e+05,2.180e+02,1.212e+05
42.1,1.438e+03,1.343e+05,1.791e+02,1.359e+05
43.6,1.703e+03,1.587e+05,1.331e+02,1.605e+05
45.2,2.226e+03,1.881e+05,1.272e+02,1.905e+05
46.7,2.560e+03,2.221e+05,1.339e+02,2.247e+05
48.3,2.680e+03,2.719e+05,1.711e+02,2.748e+05
49.9,2.975e+03,3.400e+05,2.084e+02,3.432e+05
51.4,3.198e+03,3.960e+05,2.213e+02,3.994e+05
53.0,3.713e+03,4.098e+05,2.332e+02,4.137e+05
54.5,4.536e+03,4.550e+05,2.297e+02,4.598e+05
56.1,5.443e+03,5.673e+05,2.195e+02,5.730e+05
57.6,6.395e+03,7.282e+05,2.129e+02,7.348e+05
59.2,7.474e+03,9.437e+05,1.888e+02,9.513e+05
60.8,8.532e+03,1.228e+06,1.854e+02,1.237e+06
62.3,9.751e+03,1.652e+06,1.712e+02,1.662e+06
