freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.066e+02,1.506e+03,3.025e+01,1.743e+03
1.6,5.801e+02,8.691e+02,5.829e+01,1.507e+03
3.1,6.505e+02,6.761e+01,5.074e+01,7.689e+02
4.7,5.164e+02,4.253e+02,5.396e+01,9.956e+02
6.2,6.352e+02,1.379e+03,6.109e+01,2.075e+03
7.8,6.582e+02,2.256e+03,6.633e+01,2.980e+03
9.4,6.796e+02,3.287e+03,6.972e+01,4.036e+03
10.9,6.861e+02,4.457e+03,8.298e+01,5.226e+03
12.5,6.536e+02,5.842e+03,1.033e+02,6.599e+03
14.1,6.138e+02,7.496e+03,1.187e+02,8.229e+03
15.6,6.308e+02,9.440e+03,1.166e+02,1.019e+04
17.2,6.098e+02,1.178e+04,1.085e+02,1.249e+04
18.7,5.887e+02,1.434e+04,1.011e+02,1.503e+04
20.3,6.383e+02,1.716e+04,9.869e+01,1.789e+04
21.9,7.312e+02,2.022e+04,1.153e+02,2.106e+04
23.4,7.784e+02,2.389e+04,1.279e+02,2.480e+04
25.0,7.316e+02,2.869e+04,1.559e+02,2.958e+04
26.5,6.854e+02,3.440e+04,2.003e+02,3.529e+04
28.1,6.363e+02,3.960e+04,2.438e+02,4.048e+04
29.7,6.318e+02,4.450e+04,2.978e+02,4.543e+04
31.2,6.776e+02,4.997e+04,3.074e+02,5.096e+04
32.8,7.820e+02,5.440e+04,2.805e+02,5.546e+04
34.4,8.949e+02,5.928e+04,4.177e+02,6.060e+04
35.9,9.581e+02,6.691e+04,6.526e+02,6.852e+04
37.5,8.325e+02,7.934e+04,8.435e+02,8.102e+04
39.0,7.622e+02,9.179e+04,9.420e+02,9.350e+04
40.6,8.257e+02,1.016e+05,7.954e+02,1.032e+05
42.2,8.340e+02,1.082e+05,5.351e+02,1.095e+05
43.7,1.141e+03,1.126e+05,3.419e+02,1.141e+05
45.3,1.331e+03,1.244e+05,1.928e+02,1.259e+05
46.8,1.421e+03,1.412e+05,1.352e+02,1.427e+05
48.4,1.183e+03,1.613e+05,1.271e+02,1.626e+05
50.0,9.118e+02,1.746e+05,1.470e+02,1.756e+05
51.5,1.007e+03,1.859e+05,2.402e+02,1.872e+05
53.1,1.036e+03,2.223e+05,3.325e+02,2.236e+05
54.6,1.034e+03,2.717e+05,3.337e+02,2.731e+05
56.2,9.863e+02,3.069e+05,3.129e+02,3.082e+05
57.8,1.164e+03,3.019e+05,3.323e+02,3.034e+05
59.3,2.106e+03,2.002e+05,2.938e+02,2.026e+05
60.9,3.315e+03,1.182e+05,1.818e+02,1.217e+05
62.5,3.981e+03,1.177e+05,1.790e+02,1.219e+05
64.0,4.569e+03,1.362e+05,2.121e+02,1.410e+05
65.6,5.186e+03,1.599e+05,2.569e+02,1.653e+05
67.1,5.662e+03,1.826e+05,3.023e+02,1.886e+05
68.7,6.184e+03,1.985e+05,3.422e+02,2.050e+05
70.3,6.794e+03,2.192e+05,4.294e+02,2.264e+05
71.8,7.589e+03,2.611e+05,6.795e+02,2.693e+05
73.4,8.363e+03,3.099e+05,1.037e+03,3.193e+05
74.9,9.706e+03,3.571e+05,1.678e+03,3.685e+05
76.5,1.121e+04,4.201e+05,3.232e+03,4.345e+05
78.1,1.285e+04,5.250e+05,6.063e+03,5.439e+05
79.6,1.458e+04,7.617e+05,1.136e+04,7.876e+05
81.2,1.620e+04,1.349e+06,1.828e+04,1.383e+06
82.8,1.708e+04,2.413e+06,2.423e+04,2.455e+06
84.3,1.848e+04,4.164e+06,2.540e+04,4.208e+06
85.9,2.262e+04,6.073e+06,1.530e+04,6.111e+06
87.4,2.628e+04,6.875e+06,7.180e+03,6.908e+06
89.0,3.200e+04,8.283e+06,8.398e+03,8.323e+06
90.6,4.106e+04,9.602e+06,2.636e+04,9.669e+06
92.1,4.999e+04,1.000e+07,6.244e+04,1.012e+07
93.7,5.270e+04,1.002e+07,1.001e+05,1.017e+07
95.2,4.383e+04,9.613e+06,1.254e+05,9.782e+06
96.8,3.147e+04,8.981e+06,1.423e+05,9.155e+06
98.4,2.228e+04,8.174e+06,1.396e+05,8.336e+06
99.9,1.366e+04,7.187e+06,1.212e+05,7.322e+06
101.5,6.699e+03,6.305e+06,1.063e+05,6.418e+06
103.1,2.945e+03,5.536e+06,9.153e+04,5.630e+06
104.6,2.330e+03,4.788e+06,7.378e+04,4.864e+06
106.2,4.431e+03,4.047e+06,5.591e+04,4.107e+06
107.7,9.481e+03,3.230e+06,4.246e+04,3.281e+06
109.3,1.462e+04,2.780e+06,3.912e+04,2.834e+06
110.9,1.694e+04,2.658e+06,4.113e+04,2.716e+06
112.4,1.795e+04,2.561e+06,4.215e+04,2.621e+06
114.0,2.139e+04,2.475e+06,4.264e+04,2.539e+06
115.5,3.089e+04,2.397e+06,4.443e+04,2.472e+06
117.1,4.159e+04,2.298e+06,4.673e+04,2.387e+06
118.7,5.117e+04,2.196e+06,4.981e+04,2.297e+06
120.2,6.182e+04,2.104e+06,5.532e+04,2.221e+06
121.8,7.285e+04,2.008e+06,6.107e+04,2.142e+06
123.4,8.540e+04,1.944e+06,6.810e+04,2.098e+06
124.9,9.794e+04,1.883e+06,8.081e+04,2.062e+06
126.5,1.096e+05,1.819e+06,1.002e+05,2.028e+06
128.0,1.212e+05,1.765e+06,1.320e+05,2.018e+06
129.6,1.338e+05,1.700e+06,1.860e+05,2.020e+06
131.2,1.370e+05,1.509e+06,2.450e+05,1.891e+06
132.7,7.911e+04,8.105e+05,1.620e+05,1.052e+06
134.3,1.015e+04,1.098e+05,1.807e+04,1.381e+05
135.8,2.674e+03,2.857e+04,1.915e+03,3.316e+04
137.4,2.565e+03,2.899e+04,1.932e+03,3.349e+04
139.0,2.499e+03,3.078e+04,1.694e+03,3.497e+04
140.5,2.616e+03,2.760e+04,1.272e+03,3.149e+04
142.1,2.925e+03,2.632e+04,9.841e+02,3.023e+04
143.6,3.448e+03,2.463e+04,7.371e+02,2.882e+04
145.2,4.182e+03,2.415e+04,6.019e+02,2.893e+04
146.8,4.717e+03,2.444e+04,4.920e+02,2.965e+04
148.3,5.614e+03,2.427e+04,4.369e+02,3.032e+04
149.9,6.305e+03,2.484e+04,4.259e+02,3.157e+04
151.5,5.322e+03,2.479e+04,3.509e+02,3.046e+04
153.0,4.792e+03,2.259e+04,3.005e+02,2.768e+04
154.6,5.736e+03,1.976e+04,3.066e+02,2.580e+04
156.1,6.095e+03,1.631e+04,3.105e+02,2.272e+04
157.7,6.393e+03,1.304e+04,2.917e+02,1.972e+04
159.3,6.701e+03,1.070e+04,2.862e+02,1.768e+04
160.8,8.342e+03,1.033e+04,3.702e+02,1.905e+04
162.4,1.076e+04,1.214e+04,4.874e+02,2.339e+04
163.9,1.307e+04,1.311e+04,5.481e+02,2.673e+04
165.5,1.617e+04,1.387e+04,6.265e+02,3.067e+04
167.1,2.033e+04,1.547e+04,7.260e+02,3.653e+04
168.6,2.272e+04,2.173e+04,8.067e+02,4.526e+04
170.2,2.169e+04,3.608e+04,7.784e+02,5.854e+04
171.8,2.146e+04,6.036e+04,8.592e+02,8.268e+04
173.3,2.420e+04,1.086e+05,1.935e+03,1.347e+05
174.9,3.617e+04,1.761e+05,4.183e+03,2.165e+05
176.4,5.630e+04,2.319e+05,6.148e+03,2.944e+05
178.0,7.897e+04,2.753e+05,8.231e+03,3.625e+05
179.6,7.005e+04,3.267e+05,1.157e+04,4.083e+05
181.1,5.041e+04,4.016e+05,1.524e+04,4.673e+05
182.7,4.578e+04,4.203e+05,1.546e+04,4.815e+05
184.2,5.148e+04,4.120e+05,1.614e+04,4.796e+05
185.8,6.002e+04,3.750e+05,1.758e+04,4.526e+05
187.4,7.357e+04,3.298e+05,1.794e+04,4.213e+05
188.9,8.941e+04,2.517e+05,1.728e+04,3.584e+05
190.5,7.671e+04,1.859e+05,1.882e+04,2.814e+05
192.1,5.163e+04,2.429e+05,2.181e+04,3.164e+05
193.6,5.040e+04,2.977e+05,2.262e+04,3.707e+05
195.2,5.806e+04,3.017e+05,2.125e+04,3.810e+05
196.7,5.962e+04,2.869e+05,1.927e+04,3.658e+05
198.3,6.186e+04,2.661e+05,1.694e+04,3.449e+05
199.9,6.252e+04,2.465e+05,1.460e+04,3.236e+05
